 ,Greedy,Uniform,A*,Dijkstras, ,Greedy,Uniform,A*,Dijkstras
Time:,0.025460004806518555,0.025510787963867188,0.024595975875854492,0.024328947067260742,Traffic:,8,8,8,8
Time:,0.1828470230102539,0.18196988105773926,0.18181705474853516,0.20577096939086914,Traffic:,34,34,34,34
Time:,1.1242339611053467,0.2417590618133545,0.23322534561157227,0.2535688877105713,Traffic:,76,71,71,71
Time:,1.15779709815979,0.2932240962982178,0.2834203243255615,0.30565500259399414,Traffic:,103,85,85,85
Time:,1.1821930408477783,0.3385000228881836,0.32565951347351074,0.3515911102294922,Traffic:,95,95,95,95
Time:,1.2019352912902832,0.37038207054138184,0.35692453384399414,0.3838992118835449,Traffic:,80,80,80,80
Time:,1.2395579814910889,0.4560739994049072,0.4395585060119629,0.4793851375579834,Traffic:,127,127,127,127
Time:,1.366387128829956,0.8185737133026123,0.7785065174102783,0.8141088485717773,Traffic:,419,390,390,390
Time:,1.66493821144104,2.2646145820617676,2.204073429107666,2.2829058170318604,Traffic:,724,621,622,621
Time:,1.6845462322235107,2.3003475666046143,2.23781156539917,2.3213987350463867,Traffic:,76,76,76,76
Time:,2.1625311374664307,3.3623046875,3.308286428451538,3.403183937072754,Traffic:,315,214,214,214
Time:,2.2461321353912354,3.4541635513305664,3.3998115062713623,3.492349863052368,Traffic:,203,203,203,203
Time:,2.2896721363067627,3.5076377391815186,3.4541635513305664,3.545562744140625,Traffic:,172,172,172,172
Time:,2.330707311630249,3.5942296981811523,3.5438694953918457,3.6327338218688965,Traffic:,187,187,187,187
Time:,2.354656219482422,3.6533689498901367,3.5952084064483643,3.691736936569214,Traffic:,102,102,102,102
Time:,2.397684335708618,3.750375986099243,3.683617353439331,3.7841689586639404,Traffic:,186,165,165,165
Time:,0.0013442039489746094,0.0013051033020019531,0.0013241767883300781,0.0012340545654296875,Traffic:,8,8,8,8
Time:,0.008304119110107422,0.008601188659667969,0.008074283599853516,0.008085012435913086,Traffic:,34,34,34,34
Time:,0.0333859920501709,0.04676103591918945,0.04540729522705078,0.04894900321960449,Traffic:,65,62,62,62
Time:,0.061936140060424805,0.09701085090637207,0.09351754188537598,0.10073590278625488,Traffic:,108,102,102,102
Time:,0.08491683006286621,0.1388077735900879,0.13549041748046875,0.1419680118560791,Traffic:,105,105,105,105
Time:,0.10225963592529297,0.16683387756347656,0.16046452522277832,0.1695551872253418,Traffic:,49,49,49,49
Time:,0.1405928134918213,0.24484586715698242,0.23793458938598633,0.24958229064941406,Traffic:,137,127,127,127
Time:,0.26624464988708496,0.5754227638244629,0.5564289093017578,0.5781254768371582,Traffic:,388,368,369,368
Time:,0.5826358795166016,2.025073528289795,1.9047057628631592,2.0803565979003906,Traffic:,624,540,540,540
Time:,0.601309061050415,2.05936336517334,1.9343209266662598,2.1152749061584473,Traffic:,78,78,78,78
Time:,1.0700631141662598,3.17435622215271,3.03242564201355,3.2290689945220947,Traffic:,331,214,214,216
Time:,1.155555009841919,3.2690999507904053,3.1261446475982666,3.321960210800171,Traffic:,177,177,177,177
Time:,1.1980769634246826,3.3265697956085205,3.1799938678741455,3.383148193359375,Traffic:,201,195,195,195
Time:,1.2375478744506836,3.411200761795044,3.262302875518799,3.4715163707733154,Traffic:,168,155,155,155
Time:,1.2614359855651855,3.4647605419158936,3.310471773147583,3.5251803398132324,Traffic:,94,90,90,90
Time:,1.308138132095337,3.5539193153381348,3.3936355113983154,3.615682363510132,Traffic:,177,177,177,177
Time:,0.001348257064819336,0.0013496875762939453,0.0012388229370117188,0.0011489391326904297,Traffic:,18,18,18,18
Time:,0.008013248443603516,0.008175849914550781,0.008139848709106445,0.007987022399902344,Traffic:,40,40,40,40
Time:,0.03573799133300781,0.05414772033691406,0.05358695983886719,0.052147865295410156,Traffic:,79,73,74,74
Time:,0.06597685813903809,0.10306382179260254,0.10001897811889648,0.1001439094543457,Traffic:,134,101,101,101
Time:,0.08914065361022949,0.14873886108398438,0.1459341049194336,0.1460719108581543,Traffic:,96,96,96,96
Time:,0.10712075233459473,0.17717313766479492,0.1694040298461914,0.17586016654968262,Traffic:,56,56,56,56
Time:,0.14330077171325684,0.2603592872619629,0.2508549690246582,0.2627754211425781,Traffic:,136,128,129,128
Time:,0.26878881454467773,0.6111273765563965,0.5938429832458496,0.6072983741760254,Traffic:,408,393,393,393
Time:,0.5832695960998535,1.8865392208099365,1.7794678211212158,1.897045373916626,Traffic:,690,591,591,591
Time:,0.6023788452148438,1.9331061840057373,1.8212440013885498,1.9387733936309814,Traffic:,90,81,81,81
Time:,1.0733349323272705,2.778001308441162,2.6261239051818848,2.7763965129852295,Traffic:,345,190,190,190
Time:,1.1551978588104248,2.86814022064209,2.716876983642578,2.8728435039520264,Traffic:,209,209,209,209
Time:,1.1989166736602783,2.923774242401123,2.7725348472595215,2.928271532058716,Traffic:,243,237,237,237
Time:,1.2381696701049805,3.0077860355377197,2.864651918411255,3.0139665603637695,Traffic:,176,159,159,162
Time:,1.2619986534118652,3.0616681575775146,2.9158098697662354,3.072709560394287,Traffic:,107,99,99,99
Time:,1.306666612625122,3.1303632259368896,2.979179859161377,3.139472484588623,Traffic:,184,144,144,144
Time:,0.0018377304077148438,0.0013780593872070312,0.0012929439544677734,0.0012700557708740234,Traffic:,1,1,1,1
Time:,0.009396553039550781,0.008152246475219727,0.008188724517822266,0.009315013885498047,Traffic:,60,60,60,60
Time:,0.035376787185668945,0.05085110664367676,0.04991888999938965,0.05101799964904785,Traffic:,76,66,67,66
Time:,0.06369781494140625,0.10252714157104492,0.10242676734924316,0.10491204261779785,Traffic:,130,113,113,113
Time:,0.08611202239990234,0.14832520484924316,0.14377975463867188,0.14692902565002441,Traffic:,113,113,113,113
Time:,0.1058359146118164,0.1781172752380371,0.1707308292388916,0.17473411560058594,Traffic:,83,83,83,83
Time:,0.14072275161743164,0.2673821449279785,0.2510528564453125,0.26872920989990234,Traffic:,154,140,140,140
Time:,0.271878719329834,0.6236684322357178,0.6080999374389648,0.6198630332946777,Traffic:,375,341,342,341
Time:,0.6045727729797363,2.037771463394165,1.9550449848175049,2.0308640003204346,Traffic:,693,595,595,596
Time:,0.6244399547576904,2.0733635425567627,1.9922409057617188,2.0692808628082275,Traffic:,86,78,78,78
Time:,1.1018478870391846,3.131760835647583,2.990433692932129,3.108254909515381,Traffic:,355,200,201,200
Time:,1.1859328746795654,3.2235426902770996,3.082908868789673,3.200390100479126,Traffic:,190,190,190,190
Time:,1.229604959487915,3.280000686645508,3.141089677810669,3.259303092956543,Traffic:,186,177,177,177
Time:,1.2690057754516602,3.366586685180664,3.2253856658935547,3.3468291759490967,Traffic:,233,196,196,196
Time:,1.2926700115203857,3.420682907104492,3.269129753112793,3.39912748336792,Traffic:,84,84,84,84
Time:,1.3397479057312012,3.508835792541504,3.351151943206787,3.4908173084259033,Traffic:,190,172,172,172
Time:,0.001318216323852539,0.001313924789428711,0.0012810230255126953,0.001245260238647461,Traffic:,3,3,3,3
Time:,0.008199214935302734,0.008166790008544922,0.008094310760498047,0.008061408996582031,Traffic:,37,37,37,37
