 ,Greedy,Uniform,A*,Dijkstras, ,Greedy,Uniform,A*,Dijkstras
Time:,0.0253298282623291,0.024970054626464844,0.02354717254638672,0.023631811141967773,Traffic:,13,13,13,13
Time:,0.18376994132995605,0.18127012252807617,0.1935882568359375,0.7594077587127686,Traffic:,51,51,51,51
Time:,0.2196369171142578,0.23869609832763672,0.24482393264770508,0.809748649597168,Traffic:,81,76,76,76
Time:,0.25363874435424805,0.2931523323059082,0.2946479320526123,0.86031174659729,Traffic:,126,98,98,98
Time:,0.27868056297302246,0.34130120277404785,0.33991289138793945,0.9077017307281494,Traffic:,108,108,108,108
Time:,0.2970542907714844,0.3735170364379883,0.37085509300231934,0.9378876686096191,Traffic:,69,69,69,69
Time:,0.33518123626708984,0.4599452018737793,0.4486241340637207,1.0226967334747314,Traffic:,127,118,118,118
Time:,0.4627041816711426,0.8497653007507324,0.8202629089355469,1.387415885925293,Traffic:,454,404,404,405
Time:,0.808110237121582,2.2948551177978516,2.1824026107788086,2.8718550205230713,Traffic:,625,567,567,567
Time:,0.8284153938293457,2.344302177429199,2.2250826358795166,2.917794942855835,Traffic:,85,78,78,78
Time:,1.327831506729126,3.249138355255127,3.0772557258605957,3.8304250240325928,Traffic:,310,174,174,176
Time:,1.417372465133667,3.346961259841919,3.174966812133789,3.927967071533203,Traffic:,201,201,201,201
Time:,1.4637644290924072,3.406888246536255,3.2352421283721924,3.988676071166992,Traffic:,209,209,209,209
Time:,1.5065553188323975,3.4983394145965576,3.326740264892578,4.080376386642456,Traffic:,169,169,169,169
Time:,1.533329963684082,3.5605905055999756,3.386066198348999,4.14402437210083,Traffic:,95,92,92,92
Time:,1.5794639587402344,3.6494593620300293,3.4733710289001465,4.2325475215911865,Traffic:,170,143,143,143


Time:,0.0015370845794677734,0.0014829635620117188,0.0012750625610351562,0.0022420883178710938,Traffic:,18,18,18,18
Time:,0.008984088897705078,0.009659767150878906,0.009454965591430664,0.010241031646728516,Traffic:,34,34,34,34
Time:,0.037258148193359375,0.056305885314941406,0.053517818450927734,0.05509018898010254,Traffic:,80,71,71,71
Time:,0.06799507141113281,0.10864496231079102,0.10404491424560547,0.11008930206298828,Traffic:,109,104,104,104
Time:,0.0927588939666748,0.1544029712677002,0.14956188201904297,0.15624523162841797,Traffic:,103,103,103,103
Time:,0.11207890510559082,0.185546875,0.1790008544921875,0.18697643280029297,Traffic:,63,63,63,63
Time:,0.1494138240814209,0.2703275680541992,0.26463985443115234,0.2736854553222656,Traffic:,141,139,139,139
Time:,0.2770040035247803,0.656336784362793,0.6440448760986328,0.6530807018280029,Traffic:,396,371,372,371
Time:,0.6304471492767334,2.255624771118164,2.142551898956299,2.2716028690338135,Traffic:,640,537,538,537
Time:,0.6510028839111328,2.294299840927124,2.177140951156616,2.3110690116882324,Traffic:,79,79,79,79
Time:,1.1523878574371338,3.375864028930664,3.197690010070801,3.3871607780456543,Traffic:,318,218,218,218
