 ,Greedy,Uniform,A*,Dijkstras
Traffic:,11,11,11,11
Traffic:,25,25,25,25
Traffic:,71,67,67,71
Traffic:,119,108,109,108
Traffic:,103,103,103,103
Traffic:,86,86,86,86
Traffic:,128,126,126,126
Traffic:,410,389,389,389
Traffic:,610,578,578,578
Traffic:,99,92,92,92
Traffic:,323,193,193,193
Traffic:,196,196,196,196
Traffic:,189,189,189,189
Traffic:,175,175,175,175
Traffic:,114,112,112,112
Traffic:,146,146,146,146
Traffic:,14,14,14,14
Traffic:,29,29,29,29
Traffic:,59,53,53,53
Traffic:,108,89,89,89
Traffic:,96,96,96,96
Traffic:,81,81,81,81
Traffic:,135,134,135,134
Traffic:,435,415,415,416
Traffic:,719,655,656,655
Traffic:,93,88,88,88
Traffic:,375,209,210,212
Traffic:,203,203,203,203
Traffic:,224,218,218,218
Traffic:,195,167,167,167
Traffic:,104,104,104,104
Traffic:,195,191,191,191
Traffic:,16,16,16,16
Traffic:,40,40,40,40
Traffic:,72,62,62,65
Traffic:,143,119,119,119
Traffic:,103,103,103,103
Traffic:,68,68,68,68
Traffic:,148,147,147,147
Traffic:,404,361,361,361
Traffic:,651,603,603,604
Traffic:,85,85,85,85
Traffic:,343,234,234,234
Traffic:,210,210,210,210
Traffic:,203,201,201,201
Traffic:,205,182,182,182
Traffic:,79,79,79,79
Traffic:,201,180,180,180
Traffic:,17,17,17,17
Traffic:,35,35,35,35
Traffic:,70,57,57,57
Traffic:,157,112,112,112
Traffic:,106,106,106,106
Traffic:,67,67,67,67
Traffic:,145,130,130,130
Traffic:,415,385,385,388
Traffic:,652,617,617,617
Traffic:,63,59,59,59
Traffic:,331,210,210,210
Traffic:,172,172,172,172
Traffic:,191,191,191,191
Traffic:,165,165,165,165
Traffic:,108,108,108,108
Traffic:,190,179,179,179
Traffic:,20,20,20,20
Traffic:,49,49,49,49
Traffic:,90,62,62,62
Traffic:,134,111,111,111
Traffic:,112,112,112,112
Traffic:,86,86,86,86
Traffic:,133,133,133,133
Traffic:,423,385,385,385
Traffic:,658,584,584,586
Traffic:,69,69,69,69
Traffic:,327,205,205,205
Traffic:,208,208,208,208
Traffic:,223,223,223,223
Traffic:,150,129,129,129
Traffic:,115,115,115,115
Traffic:,221,217,217,217
Traffic:,6,6,6,6
Traffic:,32,32,32,32
Traffic:,73,61,61,61
Traffic:,116,102,102,102
Traffic:,114,113,113,113
Traffic:,67,67,67,67
Traffic:,116,116,116,116
Traffic:,386,349,350,351
Traffic:,655,590,590,590
Traffic:,81,73,73,73
Traffic:,331,203,203,205
Traffic:,223,221,221,221
Traffic:,169,169,169,169
Traffic:,201,188,188,188
Traffic:,108,108,108,108
Traffic:,181,181,181,181
Traffic:,17,17,17,17
Traffic:,53,53,53,53
Traffic:,61,60,60,61
Traffic:,118,100,100,100
Traffic:,110,110,110,110
Traffic:,78,78,78,78
Traffic:,129,129,129,129
Traffic:,428,398,398,398
Traffic:,680,598,598,598
Traffic:,90,81,81,81
Traffic:,286,170,170,172
Traffic:,201,201,201,201
Traffic:,205,204,204,204
Traffic:,169,167,167,167
Traffic:,74,74,74,74
Traffic:,208,194,194,194
Traffic:,12,12,12,12
Traffic:,32,32,32,32
Traffic:,81,67,67,67
Traffic:,126,75,75,75
Traffic:,93,93,93,93
Traffic:,67,67,67,67
Traffic:,150,150,150,150
Traffic:,451,417,417,417
Traffic:,621,559,559,559
Traffic:,80,80,80,80
Traffic:,331,219,219,219
Traffic:,172,172,172,172
Traffic:,218,208,208,208
Traffic:,176,176,176,176
Traffic:,96,92,92,92
Traffic:,134,134,134,134
Traffic:,3,3,3,3
Traffic:,42,42,42,42
Traffic:,87,71,71,71
Traffic:,104,98,98,98
Traffic:,73,73,73,73
Traffic:,62,62,62,62
Traffic:,134,126,126,126
Traffic:,427,413,413,413
Traffic:,686,615,616,615
Traffic:,65,65,65,65
Traffic:,327,213,213,214
Traffic:,180,180,180,180
Traffic:,202,200,200,200
Traffic:,192,192,192,192
Traffic:,104,104,104,104
Traffic:,161,161,161,161
Traffic:,13,13,13,13
Traffic:,43,43,43,43
Traffic:,41,41,41,41
Traffic:,129,77,77,77
Traffic:,111,111,111,111
Traffic:,73,73,73,73
Traffic:,162,158,158,158
Traffic:,425,410,410,410
Traffic:,646,594,594,594
Traffic:,63,62,62,62
Traffic:,358,206,206,207
Traffic:,202,202,202,202
Traffic:,212,209,209,209
Traffic:,192,167,169,167
Traffic:,111,111,111,111
Traffic:,223,217,217,217
Traffic:,10,10,10,10
Traffic:,56,56,56,56
Traffic:,84,54,54,54
Traffic:,122,100,100,100
Traffic:,117,117,117,117
Traffic:,71,71,71,71
Traffic:,145,141,141,141
Traffic:,404,381,383,381
Traffic:,703,633,633,636
Traffic:,98,98,98,98
Traffic:,335,204,206,204
Traffic:,213,213,213,213
Traffic:,228,228,228,228
Traffic:,178,178,178,178
Traffic:,101,101,101,101
Traffic:,182,146,146,146
Traffic:,8,8,8,8
Traffic:,41,41,41,41
Traffic:,48,45,45,45
Traffic:,110,78,78,78
Traffic:,79,79,79,79
Traffic:,89,89,89,89
Traffic:,128,121,121,121
Traffic:,397,374,374,374
Traffic:,679,649,649,649
Traffic:,77,71,71,71
Traffic:,376,220,220,223
Traffic:,208,208,208,208
Traffic:,180,180,180,180
Traffic:,162,162,162,162
Traffic:,93,86,86,86
Traffic:,183,170,170,170
Traffic:,9,9,9,9
Traffic:,45,45,45,45
Traffic:,82,76,76,76
Traffic:,113,109,109,109
Traffic:,84,84,84,84
Traffic:,70,70,70,70
Traffic:,142,137,137,137
Traffic:,474,430,431,430
Traffic:,663,603,603,603
Traffic:,89,89,89,89
Traffic:,366,185,186,185
Traffic:,200,200,200,200
Traffic:,239,239,239,239
Traffic:,165,160,160,160
Traffic:,98,95,95,95
Traffic:,201,185,185,185
Traffic:,16,16,16,16
Traffic:,50,50,50,50
Traffic:,69,51,51,51
Traffic:,126,99,99,99
Traffic:,104,100,100,100
Traffic:,74,74,74,74
Traffic:,127,127,127,127
Traffic:,422,383,383,383
Traffic:,661,563,563,563
Traffic:,94,94,94,94
Traffic:,317,182,182,182
Traffic:,190,190,190,190
Traffic:,201,201,201,201
Traffic:,178,176,176,178
Traffic:,97,97,97,97
Traffic:,174,172,172,172
Traffic:,19,19,19,19
Traffic:,54,54,54,54
Traffic:,52,46,46,46
Traffic:,105,86,86,86
Traffic:,98,98,98,98
Traffic:,68,68,68,68
Traffic:,134,132,132,132
Traffic:,419,390,390,390
Traffic:,670,595,597,601
Traffic:,84,77,77,77
Traffic:,359,232,232,235
Traffic:,212,212,212,212
Traffic:,231,231,231,231
Traffic:,165,165,165,165
Traffic:,99,99,99,99
Traffic:,196,195,195,195
Traffic:,7,7,7,7
Traffic:,44,44,44,44
Traffic:,71,68,68,68
