 ,Greedy,Weighted-A*,A*,Dijkstras, ,Greedy,Weighted-A*,A*,Dijkstras
Time:,0.023753881454467773,0.023004770278930664,0.02295088768005371,0.023813962936401367,Traffic:,11,11,11,11
Time:,0.1810598373413086,0.17900371551513672,0.17951178550720215,0.17752408981323242,Traffic:,35,35,35,35
Time:,0.8066647052764893,1.2269654273986816,0.2354116439819336,0.22473931312561035,Traffic:,79,74,66,66
Time:,0.8367035388946533,1.258002519607544,0.2701554298400879,0.2606923580169678,Traffic:,145,81,81,81
Time:,0.860238790512085,1.2804045677185059,0.3092484474182129,0.30137038230895996,Traffic:,102,102,102,102
Time:,0.8777909278869629,1.2989540100097656,0.33705949783325195,0.3316054344177246,Traffic:,61,61,61,61
Time:,0.9126379489898682,1.3397622108459473,0.4108273983001709,0.41287660598754883,Traffic:,132,132,132,132
Time:,1.0332551002502441,1.6006462574005127,0.7453963756561279,0.7499725818634033,Traffic:,415,401,401,402
Time:,1.3379254341125488,1.9904441833496094,2.0582094192504883,2.145528793334961,Traffic:,625,607,585,585
Time:,1.3563363552093506,2.019904136657715,2.0990803241729736,2.1886606216430664,Traffic:,91,91,86,86
Time:,1.8120365142822266,2.5125279426574707,2.970837354660034,3.0694966316223145,Traffic:,338,208,178,178
Time:,1.8929986953735352,2.592989921569824,3.058148145675659,3.159135580062866,Traffic:,173,173,173,173
Time:,1.9393365383148193,2.6361491680145264,3.1151349544525146,3.213374376296997,Traffic:,219,219,219,219
Time:,1.9805552959442139,2.6878960132598877,3.1905839443206787,3.2949485778808594,Traffic:,178,144,144,144
Time:,2.003246545791626,2.7130351066589355,3.230031728744507,3.342092514038086,Traffic:,68,68,68,68
Time:,2.0470457077026367,2.758063793182373,3.3400156497955322,3.4588747024536133,Traffic:,187,187,187,187
Time:,0.0013132095336914062,0.001252889633178711,0.0012500286102294922,0.0011429786682128906,Traffic:,3,3,3,3
Time:,0.008411169052124023,0.009042739868164062,0.008983135223388672,0.008351802825927734,Traffic:,22,22,22,22
Time:,0.03434634208679199,0.047751665115356445,0.04846024513244629,0.047798871994018555,Traffic:,74,72,58,58
Time:,0.06283164024353027,0.08302068710327148,0.09299445152282715,0.09447956085205078,Traffic:,123,97,97,97
Time:,0.08610248565673828,0.10533452033996582,0.12923049926757812,0.1334376335144043,Traffic:,69,69,69,69
Time:,0.10474348068237305,0.12770938873291016,0.1587061882019043,0.1638624668121338,Traffic:,98,98,98,98
Time:,0.1404554843902588,0.166473388671875,0.23507308959960938,0.24257636070251465,Traffic:,136,136,133,133
Time:,0.26589345932006836,0.4101231098175049,0.5901670455932617,0.5900182723999023,Traffic:,409,418,397,396
Time:,0.5884575843811035,0.8208639621734619,1.8690650463104248,2.010324239730835,Traffic:,641,591,558,559
Time:,0.6068875789642334,0.8458631038665771,1.904365062713623,2.0488250255584717,Traffic:,85,85,78,78
Time:,1.067131519317627,1.2629132270812988,2.8502578735351562,3.0412981510162354,Traffic:,327,222,199,200
Time:,1.1529827117919922,1.350356101989746,2.9474029541015625,3.131871223449707,Traffic:,181,181,181,181
Time:,1.1993114948272705,1.394768238067627,3.0026328563690186,3.189493417739868,Traffic:,192,192,192,192
Time:,1.2404162883758545,1.442054271697998,3.086967945098877,3.2758193016052246,Traffic:,158,158,153,153
Time:,1.26649808883667,1.4673051834106445,3.1275739669799805,3.3251261711120605,Traffic:,80,80,73,73
Time:,1.3086302280426025,1.5152781009674072,3.2158679962158203,3.421262264251709,Traffic:,175,175,170,170
Time:,0.0012607574462890625,0.0013120174407958984,0.0013468265533447266,0.0011801719665527344,Traffic:,3,3,3,3
Time:,0.008109569549560547,0.007918119430541992,0.007990837097167969,0.008219242095947266,Traffic:,42,42,42,42
Time:,0.03341960906982422,0.03822731971740723,0.0495758056640625,0.05022931098937988,Traffic:,45,41,41,41
Time:,0.06148052215576172,0.06887245178222656,0.09240198135375977,0.09321260452270508,Traffic:,113,75,75,75
Time:,0.08454561233520508,0.09284448623657227,0.13359379768371582,0.13472366333007812,Traffic:,115,115,115,115
Time:,0.10222434997558594,0.11087250709533691,0.1623706817626953,0.16281652450561523,Traffic:,86,86,86,86
Time:,0.13618731498718262,0.14792752265930176,0.23657655715942383,0.23980450630187988,Traffic:,139,139,124,124
Time:,0.2594282627105713,0.38916444778442383,0.5792787075042725,0.5856995582580566,Traffic:,400,371,367,368
Time:,0.5599932670593262,0.8648233413696289,1.8940527439117432,1.985027551651001,Traffic:,693,658,619,621
Time:,0.5785071849822998,0.8875305652618408,1.9356956481933594,2.025312662124634,Traffic:,99,99,99,99
Time:,1.0420622825622559,1.309396505355835,2.8390908241271973,2.99601674079895,Traffic:,331,207,200,203
Time:,1.1239290237426758,1.4026737213134766,2.92779278755188,3.0885486602783203,Traffic:,182,182,182,182
Time:,1.1681270599365234,1.4482145309448242,2.9784646034240723,3.1427948474884033,Traffic:,191,191,191,191
Time:,1.2076520919799805,1.4938323497772217,3.063767671585083,3.2275078296661377,Traffic:,189,189,189,188
Time:,1.230950117111206,1.5195012092590332,3.1266913414001465,3.294585704803467,Traffic:,102,102,98,98
Time:,1.2750489711761475,1.5634839534759521,3.20015549659729,3.3751707077026367,Traffic:,185,185,166,166
Time:,0.0013279914855957031,0.0013637542724609375,0.0012638568878173828,0.0011878013610839844,Traffic:,15,15,15,15
Time:,0.007950067520141602,0.008415699005126953,0.00901484489440918,0.008085966110229492,Traffic:,32,32,32,32
Time:,0.061244964599609375,0.036895751953125,0.04852175712585449,0.05109691619873047,Traffic:,61,51,51,52
Time:,0.09048795700073242,0.06507587432861328,0.08397984504699707,0.09050989151000977,Traffic:,113,78,78,78
Time:,0.11375570297241211,0.09493398666381836,0.12995386123657227,0.135300874710083,Traffic:,89,89,89,89
Time:,0.13117074966430664,0.11388111114501953,0.1590108871459961,0.16504406929016113,Traffic:,71,71,71,71
Time:,0.16722488403320312,0.15134835243225098,0.2405848503112793,0.2500121593475342,Traffic:,130,130,130,130
Time:,0.2879149913787842,0.4344034194946289,0.5649278163909912,0.5793321132659912,Traffic:,470,427,414,415
Time:,0.5990540981292725,0.8667652606964111,1.7616147994995117,1.8590638637542725,Traffic:,677,580,545,545
Time:,0.6173663139343262,0.8918981552124023,1.792740821838379,1.8939428329467773,Traffic:,75,75,75,75
Time:,1.0844545364379883,1.3719892501831055,2.606066942214966,2.7594966888427734,Traffic:,379,229,189,189
Time:,1.168090581893921,1.4544041156768799,2.6982688903808594,2.8517799377441406,Traffic:,194,194,194,194
Time:,1.2123394012451172,1.4978468418121338,2.751790761947632,2.905550956726074,Traffic:,201,201,201,201
Time:,1.2533965110778809,1.5469448566436768,2.832632541656494,2.992310047149658,Traffic:,152,152,152,152
Time:,1.2769365310668945,1.5714848041534424,2.874394655227661,3.0378739833831787,Traffic:,84,84,84,84
Time:,1.3186373710632324,1.6198170185089111,2.9595396518707275,3.1381208896636963,Traffic:,188,188,172,172
Time:,0.0015387535095214844,0.0015230178833007812,0.001428842544555664,0.001375436782836914,Traffic:,6,6,6,6
Time:,0.009018898010253906,0.008292913436889648,0.008578777313232422,0.00813436508178711,Traffic:,33,33,33,33
Time:,0.03377485275268555,0.042600154876708984,0.04864072799682617,0.049007415771484375,Traffic:,62,58,58,58
Time:,0.061972618103027344,0.07723426818847656,0.09312987327575684,0.09274458885192871,Traffic:,106,76,76,76
Time:,0.08522462844848633,0.10001349449157715,0.13381171226501465,0.13149571418762207,Traffic:,91,91,91,91
Time:,0.10282564163208008,0.11927342414855957,0.16171669960021973,0.16115283966064453,Traffic:,82,82,82,82
Time:,0.1367037296295166,0.1559443473815918,0.2263479232788086,0.23513579368591309,Traffic:,113,113,113,113
Time:,0.25734782218933105,0.39055848121643066,0.5647926330566406,0.5695958137512207,Traffic:,382,357,350,350
