 ,Greedy,WeightedA*,A*,Dijkstras, ,Greedy,WeightedA*,A*,Dijkstras
Time:,0.026131153106689453,0.0258939266204834,0.025155067443847656,0.02580404281616211,Traffic:,10,10,10,10
Time:,0.1835341453552246,0.18297195434570312,0.18273568153381348,0.19822311401367188,Traffic:,44,44,44,44
Time:,1.3185372352600098,0.22778606414794922,0.24072670936584473,0.24895310401916504,Traffic:,71,64,64,64
Time:,1.3575031757354736,0.26407599449157715,0.2832639217376709,0.2969491481781006,Traffic:,153,86,86,86
Time:,1.3853988647460938,0.29097890853881836,0.330873966217041,0.34520602226257324,Traffic:,96,96,96,96
Time:,1.404932975769043,0.3089790344238281,0.3614377975463867,0.3764982223510742,Traffic:,70,70,70,70
Time:,1.442652940750122,0.3599059581756592,0.453143835067749,0.4671590328216553,Traffic:,162,162,155,155
Time:,1.5846269130706787,0.6676437854766846,0.8811018466949463,0.9018709659576416,Traffic:,434,399,399,399
Time:,1.9691808223724365,1.2805278301239014,2.386833667755127,2.5135128498077393,Traffic:,707,674,629,629
Time:,1.989365816116333,1.3032498359680176,2.4301133155822754,2.558696985244751,Traffic:,83,83,83,83
Time:,2.493415594100952,1.8754820823669434,3.4401981830596924,3.618741035461426,Traffic:,285,198,178,179
Time:,2.5825254917144775,1.9531919956207275,3.5315701961517334,3.7110259532928467,Traffic:,178,178,178,178
Time:,2.627781629562378,1.998490810394287,3.5888540744781494,3.7705678939819336,Traffic:,202,202,196,196
Time:,2.6686718463897705,2.0435047149658203,3.6820151805877686,3.863619089126587,Traffic:,174,174,174,174
Time:,2.6942477226257324,2.069819688796997,3.726036310195923,3.9118101596832275,Traffic:,92,92,86,86
Time:,2.74037766456604,2.1222074031829834,3.8080685138702393,3.9957902431488037,Traffic:,208,174,154,154


Time:,0.0015878677368164062,0.0014657974243164062,0.001664876937866211,0.0014100074768066406,Traffic:,15,15,15,15
Time:,0.010457754135131836,0.009140729904174805,0.00945591926574707,0.008647918701171875,Traffic:,47,47,47,47
Time:,0.03861665725708008,0.03853273391723633,0.054521799087524414,0.053998708724975586,Traffic:,61,61,61,61
Time:,0.07045149803161621,0.07731986045837402,0.10776996612548828,0.11031270027160645,Traffic:,122,96,96,96
Time:,0.09557151794433594,0.10261178016662598,0.15109896659851074,0.15663671493530273,Traffic:,94,94,94,94
Time:,0.11391139030456543,0.12362384796142578,0.1835167407989502,0.18932580947875977,Traffic:,72,72,72,72
Time:,0.15319061279296875,0.16073179244995117,0.2601327896118164,0.28287386894226074,Traffic:,95,95,95,95
Time:,0.28735971450805664,0.460559606552124,0.6544268131256104,0.68619704246521,Traffic:,422,421,403,402
Time:,0.6335055828094482,0.9043235778808594,2.2892251014709473,2.361868143081665,Traffic:,683,648,621,621
Time:,0.6546845436096191,0.9303302764892578,2.336043119430542,2.410928249359131,Traffic:,107,107,107,107
Time:,1.183429479598999,1.591628074645996,3.5638720989227295,3.982018232345581,Traffic:,366,236,206,205
Time:,1.3047406673431396,1.684779167175293,3.6610970497131348,4.085048198699951,Traffic:,193,193,193,193
Time:,1.349951982498169,1.7456340789794922,3.734998941421509,4.1664392948150635,Traffic:,197,197,197,197
Time:,1.4158740043640137,1.8000810146331787,3.8447821140289307,4.270280361175537,Traffic:,172,172,166,166
Time:,1.4451541900634766,1.831010103225708,3.906641960144043,4.362772464752197,Traffic:,96,96,89,89
Time:,1.5002522468566895,1.8913531303405762,4.007864952087402,4.473817348480225,Traffic:,166,166,160,160


Time:,0.002542257308959961,0.0014650821685791016,0.0015101432800292969,0.0014159679412841797,Traffic:,14,14,14,14
Time:,0.011496305465698242,0.00956106185913086,0.008703947067260742,0.010178804397583008,Traffic:,51,51,51,51
Time:,0.04036307334899902,0.04922795295715332,0.05444192886352539,0.057811737060546875,Traffic:,72,72,68,68
Time:,0.07369709014892578,0.093505859375,0.12439680099487305,0.12359356880187988,Traffic:,105,91,91,91
Time:,0.10053205490112305,0.13193392753601074,0.17535066604614258,0.17307543754577637,Traffic:,126,126,126,126
Time:,0.12137198448181152,0.15378499031066895,0.20164775848388672,0.20402050018310547,Traffic:,56,56,56,56
Time:,0.16423511505126953,0.203538179397583,0.2997109889984131,0.3043653964996338,Traffic:,150,150,147,147
Time:,0.3087019920349121,0.3839881420135498,0.6657490730285645,0.6742763519287109,Traffic:,354,331,331,334
Time:,0.674685001373291,0.9290122985839844,2.1711578369140625,2.412804365158081,Traffic:,621,554,547,547
Time:,0.699641227722168,0.9508512020111084,2.203720808029175,2.446465492248535,Traffic:,69,69,69,69
Time:,1.2334563732147217,1.5215191841125488,3.363178014755249,3.4734795093536377,Traffic:,343,238,203,204
Time:,1.3290293216705322,1.6154701709747314,3.4620540142059326,3.5710947513580322,Traffic:,179,179,179,179
Time:,1.3759493827819824,1.6765801906585693,3.527024030685425,3.6321325302124023,Traffic:,237,237,235,235
Time:,1.4188604354858398,1.7314350605010986,3.616339921951294,3.7237045764923096,Traffic:,168,168,152,152
Time:,1.446378469467163,1.7572622299194336,3.6658267974853516,3.7853646278381348,Traffic:,108,108,108,108
Time:,1.4931485652923584,1.8071532249450684,3.75797176361084,3.883028745651245,Traffic:,201,201,188,188


Time:,0.0012202262878417969,0.0013523101806640625,0.0013680458068847656,0.0012731552124023438,Traffic:,9,9,9,9
Time:,0.008934497833251953,0.009937286376953125,0.008959054946899414,0.03996109962463379,Traffic:,49,49,49,49
Time:,0.04065847396850586,0.046497344970703125,0.055666446685791016,0.0852510929107666,Traffic:,71,71,71,70
Time:,0.07179832458496094,0.08550643920898438,0.11086249351501465,0.1401510238647461,Traffic:,114,97,94,94
Time:,0.09664130210876465,0.1111452579498291,0.1584775447845459,0.188615083694458,Traffic:,117,117,117,117
Time:,0.1168053150177002,0.13728618621826172,0.19151949882507324,0.22106623649597168,Traffic:,83,83,83,83
Time:,0.15581321716308594,0.18094730377197266,0.27976536750793457,0.31217503547668457,Traffic:,145,145,139,139
Time:,0.2880711555480957,0.450803279876709,0.681415319442749,0.7191290855407715,Traffic:,405,395,393,393
Time:,0.6641862392425537,1.0942442417144775,2.347994327545166,2.6281611919403076,Traffic:,679,611,578,578
Time:,0.6871604919433594,1.1205573081970215,2.396597146987915,2.672988176345825,Traffic:,72,72,72,72
Time:,1.2552134990692139,1.6014714241027832,3.4424962997436523,3.7032723426818848,Traffic:,294,200,190,190
Time:,1.3516566753387451,1.6939544677734375,3.5451722145080566,3.804805278778076,Traffic:,187,187,187,187
Time:,1.4024837017059326,1.7452013492584229,3.605276107788086,3.8695144653320312,Traffic:,214,214,214,214
Time:,1.4459788799285889,1.8089003562927246,3.699876070022583,3.965731382369995,Traffic:,184,184,172,172
Time:,1.4752020835876465,1.8359594345092773,3.7532691955566406,4.026364326477051,Traffic:,99,99,99,99
Time:,1.525022029876709,1.8835182189941406,3.8447232246398926,4.122670650482178,Traffic:,173,173,151,151


Time:,0.0025892257690429688,0.001589059829711914,0.001447916030883789,0.0014019012451171875,Traffic:,11,11,11,11
Time:,0.01300501823425293,0.01096200942993164,0.008813619613647461,0.009389877319335938,Traffic:,51,51,51,51
Time:,0.042201995849609375,0.05084991455078125,0.05309462547302246,0.05849504470825195,Traffic:,84,76,56,56
Time:,0.07636904716491699,0.0929567813873291,0.10041165351867676,0.10899186134338379,Traffic:,121,89,89,89
Time:,0.10294270515441895,0.13109350204467773,0.15364861488342285,0.1596231460571289,Traffic:,121,121,121,121
Time:,0.12454867362976074,0.15291762351989746,0.18645477294921875,0.19219112396240234,Traffic:,83,83,83,83
Time:,0.1639842987060547,0.19802355766296387,0.2727358341217041,0.28445911407470703,Traffic:,116,116,113,113
Time:,0.32839322090148926,0.44028568267822266,0.6677470207214355,0.7283129692077637,Traffic:,381,365,352,356
Time:,0.706517219543457,0.9558076858520508,2.467665195465088,2.5351879596710205,Traffic:,745,662,636,636
Time:,0.7277650833129883,0.9781877994537354,2.5104360580444336,2.5784289836883545,Traffic:,82,82,75,75
Time:,1.2407362461090088,1.5975208282470703,3.557271957397461,3.7000889778137207,Traffic:,304,238,204,204
Time:,1.3323791027069092,1.691380500793457,3.6560769081115723,3.8004150390625,Traffic:,209,209,209,209
Time:,1.3805441856384277,1.7403886318206787,3.7188260555267334,3.863384962081909,Traffic:,250,240,240,240
Time:,1.4246842861175537,1.801769495010376,3.8138482570648193,3.960284948348999,Traffic:,179,179,179,179
Time:,1.4513342380523682,1.8273541927337646,3.8623204231262207,4.0106141567230225,Traffic:,92,92,90,90
Time:,1.498598337173462,1.8750052452087402,3.954949378967285,4.106588363647461,Traffic:,163,163,163,163


Time:,0.0015749931335449219,0.0014119148254394531,0.0024261474609375,0.0014920234680175781,Traffic:,20,20,20,20
Time:,0.013347148895263672,0.011281967163085938,0.011431217193603516,0.012786149978637695,Traffic:,52,52,52,52
Time:,0.044887542724609375,0.06365680694580078,0.06560945510864258,0.05988430976867676,Traffic:,71,71,71,71
Time:,0.07821869850158691,0.1456136703491211,0.13434839248657227,0.12005901336669922,Traffic:,125,128,123,121
Time:,0.10355758666992188,0.17341184616088867,0.1760702133178711,0.17039704322814941,Traffic:,96,96,96,96
Time:,0.12355446815490723,0.19327688217163086,0.20798301696777344,0.2037792205810547,Traffic:,56,56,56,56
Time:,0.16259050369262695,0.24179983139038086,0.29659295082092285,0.29762721061706543,Traffic:,122,122,118,118
Time:,0.3025033473968506,0.48143482208251953,0.6730339527130127,0.6783542633056641,Traffic:,368,353,353,352
Time:,0.7370562553405762,0.9220170974731445,2.2675747871398926,2.335644245147705,Traffic:,627,623,600,602
Time:,0.7595810890197754,0.9440491199493408,2.317697763442993,2.391186237335205,Traffic:,76,76,76,76
